person_id;household_id;geoid;region_code_legacy;region_name_reported;census_year;date_of_birth;age;sex;ethnicity_code;education_level;literacy;employment_status;employment_type;industry_code;annual_income_local;marital_status;migration_status;arrival_year;is_head_of_household;record_confidence_score;enumeration_source;last_updated
7646c65e-eaee-5283-ad3e-b702571caf9a;H-109-987;109;LEG-109-4953;Region-0109;2015;12/05/1940;75;Other;ETH12;Primary;True;Inactive;;;0.0;Single;Native;;True;0.865;AdminRegister;2015-02-21T00:00:00
d1587d55-95c9-5948-88c0-1f5dd41ee060;H-61-1549;61;LEG-61-6101;Region-0061;2020;14/07/1987;33;Female;ETH05;Primary;True;Inactive;;;0.0;Widowed;Native;;False;0.321;FieldEnumeration;2020-02-28T00:00:00
c8fbe10d-6a7c-5e90-9f32-91689c7916fd;H-75-4;75;LEG-75-3568;Region-0075;2010;26/02/1978;32;Female;ETH04;Tertiary;True;Employed;Formal;IND284;45058.84;Divorced;Native;;False;0.858;AdminRegister;2010-02-18T00:00:00
bdf87331-f994-53a7-8988-d9c11f5dc90f;H-78-299;78;LEG-78-4370;Rgion-0078;2015;05/08/1999;16;Other;ETH08;Secondary;True;Employed;Informal;IND073;27601.66;Widowed;Native;;False;0.187;AdminRegister;2015-11-21T00:00:00
e12b2c56-09a2-55c4-8f65-69e44601c01f;H-60-474;60;LEG-60-9969;Region-0060;2015;26/04/2010;5;Male;ETH03;NoSchool;True;Student;;;0.0;Single;Internal Migrant;2014.0;False;0.014;FieldEnumeration;2015-08-12T00:00:00
3c05439d-6e86-55a2-81d2-9572a6d34771;H-14-201;14;LEG-14-7187;Region-0014;2010;05/11/2003;7;Male;ETH18;Secondary;True;Inactive;;;0.0;Widowed;Native;;False;0.839;MobileUpdate;2010-05-05T00:00:00
f6626d3e-00bb-52dd-b938-e3c915804343;H-25-1096;25;LEG-25-6517;Region-0025;2020;06/01/2012;8;Other;ETH01;Tertiary;True;Inactive;;;0.0;Widowed;Native;;False;0.775;FieldEnumeration;2020-12-08T00:00:00
d4715c14-1909-5723-bf40-c4f75618cd59;H-24-1871;24;LEG-24-8194;Region-0024;2020;06/09/1936;84;Other;ETH16;Primary;True;Retired;;;0.0;Single;Native;;True;0.736;MobileUpdate;2020-04-11T00:00:00
3056f664-7fd7-5a9e-8ae1-7bac0a3edad5;H-78-1534;78;LEG-78-3102;Region-0078;2020;16/07/1992;28;Other;ETH12;Primary;False;Unemployed;;;0.0;Divorced;Internal Migrant;2000.0;False;0.984;AdminRegister;2020-05-08T00:00:00
b3f40418-cc84-5504-8bfb-d109fa1e3a8d;H-95-565;95;LEG-95-7423;Region-0095;2010;02/06/1940;70;Female;ETH16;Primary;True;Retired;;;0.0;Widowed;Internal Migrant;2002.0;False;0.87;FieldEnumeration;2010-03-05T00:00:00
b27a2cd0-7fb1-5c5f-b965-16b5de5bd958;H-41-2452;41;LEG-41-3100;Region-0041;2020;04/03/2002;18;Male;ETH10;Primary;True;Inactive;;;0.0;Married;Native;;False;0.657;FieldEnumeration;2020-01-04T00:00:00
2cdd2df1-f01c-5bb6-8fd4-ff9d478b135a;H-116-334;116;LEG-116-2764;Region-0116;2020;17/11/1971;49;Male;ETH04;Primary;False;Employed;Formal;IND054;19706.16;Single;Native;;False;0.221;FieldEnumeration;2020-06-14T00:00:00
8f3863ea-c067-555c-bb0c-ead405a0e79e;H-55-1166;55;LEG-55-9114;Region-0055;2015;24/11/1979;36;Female;ETH14;Tertiary;True;Inactive;;;0.0;Divorced;Native;;False;0.084;FieldEnumeration;2015-05-20T00:00:00
966ded82-ba5c-5bc2-9b7c-cc3d9bd35bdc;H-66-1862;66;LEG-66-6312;Region-0066;2020;13/02/1978;42;Male;ETH10;Primary;True;Inactive;;;0.0;Widowed;Native;;False;0.428;FieldEnumeration;2020-06-02T00:00:00
499ddcf5-3b0a-55f9-92c8-5e6afd957b7e;H-81-828;81;LEG-81-1280;Region-0081;2020;22/08/1997;23;Other;ETH05;Tertiary;True;Employed;Formal;IND230;42519.25;Widowed;Native;;False;0.725;FieldEnumeration;2020-04-04T00:00:00
a980dfb2-9da0-5e7c-884e-f49d442d5ad7;H-57-309;57;LEG-57-7400;Region-0057;2010;23/07/1972;38;Male;ETH04;Tertiary;True;Employed;Informal;IND297;51330.07;Single;Native;;False;0.515;FieldEnumeration;2010-08-16T00:00:00
f7590512-420b-5ca9-a862-cf744802d19a;H-51-1923;51;LEG-51-2973;Region-0051;2020;14/01/1985;35;Female;ETH09;Tertiary;True;Employed;Casual;IND273;30702.42;Widowed;Native;;False;0.384;FieldEnumeration;2020-10-04T00:00:00
28cfab41-33c0-5d31-a816-afbb33119ef4;H-29-581;29;LEG-29-7021;Region-0029;2010;18/04/2009;1;Male;ETH14;NoSchool;False;Student;;;0.0;Single;Native;;False;0.693;AdminRegister;2010-06-17T00:00:00
6fc53c68-1743-5d0a-9ad5-1aee9adf0e5a;H-45-516;45;LEG-45-2795;Region-0045;2015;11/06/1994;21;Other;ETH20;Secondary;True;Inactive;;;0.0;Divorced;Native;;False;0.316;FieldEnumeration;2015-06-16T00:00:00
1cb3dd9d-fc54-5f33-ae05-b4154ceedde2;H-102-1783;102;LEG-102-6605;Region-0102;2020;07/08/1978;42;Male;ETH09;Primary;True;Employed;Formal;IND066;89174.96;Married;Native;;False;0.947;AdminRegister;2020-07-10T00:00:00
774609f3-07bc-5103-b6dc-9e89aeb22451;H-93-1112;93;LEG-93-6129;Reion-0093;2020;20/05/1989;31;Female;ETH04;Secondary;True;Employed;Casual;IND279;7209.76;Single;Native;;False;0.522;SurveySample;2020-03-03T00:00:00
0b611455-3645-57d3-95fe-ca6c01903942;H-23-2475;23;LEG-23-9351;Region-0023;2020;18/04/1935;85;Male;ETH20;Tertiary;True;Retired;;;0.0;Married;Native;;False;0.246;AdminRegister;2020-06-01T00:00:00
732aa858-e538-55e2-b5ea-7dcc61670cad;H-75-214;75;LEG-75-2543;Region-0075;2015;27/06/1964;51;Male;ETH02;Postgraduate;True;Retired;;;0.0;Divorced;Native;;False;0.117;AdminRegister;2015-06-12T00:00:00
ca98d5da-2924-537b-8756-9e21ed232753;H-120-1585;120;LEG-120-2344;Region-0120;2020;25/02/1933;87;Female;ETH07;Secondary;True;Retired;;;0.0;Married;Native;;False;0.787;AdminRegister;2020-06-05T00:00:00
28ac1ce4-48f9-58d5-8973-3bec172b070a;H-108-478;108;LEG-108-5221;Region-0108;2020;19/03/2003;17;Female;ETH06;Primary;False;Inactive;;;0.0;Single;Native;;False;0.606;FieldEnumeration;2020-05-05T00:00:00
44822684-64c6-5716-94c9-1634a2b4577d;H-83-638;83;LEG-83-7234;Region-0083;2015;05/06/1995;20;Female;ETH07;Tertiary;True;Inactive;;;0.0;Widowed;Native;;False;0.617;SurveySample;2015-01-27T00:00:00
b5011ed1-9ae5-5e22-bb57-21c9ce2fbca4;H-84-897;84;LEG-84-4736;Region-0084;2015;24/08/2011;4;Male;ETH08;NoSchool;True;Student;;;0.0;Divorced;Native;;False;0.3;FieldEnumeration;2015-10-12T00:00:00
4ef0cc5b-8096-5aad-9f5b-3c1c6e08ffb7;H-109-83;109;LEG-109-3448;Region-0109;2015;08/10/1961;54;Other;ETH03;Secondary;True;Employed;Formal;IND148;24180.71;Single;Native;;False;0.583;AdminRegister;2015-01-08T00:00:00
3a3d145c-01c7-5d33-9170-9d21ee6cfce0;H-48-1486;48;LEG-48-6964;Region-0048;2015;07/01/1930;85;Other;ETH08;Tertiary;True;Inactive;;;0.0;Single;Native;;False;0.861;FieldEnumeration;2015-05-19T00:00:00
46e5329b-5f36-5518-b044-eb1d0f927dbf;H-31-311;31;LEG-31-8805;Region-0031;2010;01/05/2001;9;Male;ETH01;Secondary;True;Inactive;;;0.0;Married;Native;;False;0.784;AdminRegister;2010-08-13T00:00:00
f55eda1a-0b54-50a7-92b8-defd937d726c;H-110-492;110;LEG-110-3168;Region-0110;2020;19/01/1987;33;Male;ETH11;Secondary;True;Student;;;0.0;Married;Native;;False;0.096;FieldEnumeration;2020-03-19T00:00:00
e561c342-bfdd-5b54-bf6e-484ee11d51b1;H-54-303;54;LEG-54-7401;Region-0054;2015;14/03/2006;9;Female;ETH18;Primary;False;Student;;;0.0;Single;Native;;True;0.276;SurveySample;2015-08-11T00:00:00
3e96e77a-8f59-50bd-8f9f-dcc23222d936;H-106-1197;106;LEG-106-4951;Region-006;2020;05/12/1982;38;Female;ETH13;Postgraduate;True;Employed;Formal;IND095;25673.34;Single;Native;;False;0.077;AdminRegister;2020-02-08T00:00:00
3f832690-ecec-5930-9cf0-22c055f66997;H-6-1244;6;LEG-6-4836;Region-0006;2015;19/01/1990;25;Male;ETH11;Postgraduate;True;Employed;Informal;IND292;44193.34;Divorced;Internal Migrant;1997.0;False;0.09;AdminRegister;2015-06-22T00:00:00
